"Period","Difficulty","Racer","Lap","FromExpectedGate","ToExpectedGate","Seconds","CumulativeMisses"
"CR041-045","1","EMBER","2","15","16","5.08","0"
"CR041-045","1","EMBER","2","16","17","5.6","0"
"CR041-045","1","EMBER","2","17","18","7.2","0"
"CR041-045","1","EMBER","2","18","19","5.06","0"
"CR041-045","1","EMBER","2","19","0","5.06","0"
"CR041-045","1","EMBER","2","0","1","9.88","0"
"CR041-045","1","EMBER","3","1","2","7.46","0"
"CR041-045","1","EMBER","3","2","3","7.46","0"
"CR041-045","1","EMBER","3","3","4","7.2","0"
"CR041-045","1","EMBER","3","4","5","6.68","0"
"CR041-045","1","EMBER","3","5","6","7.1","0"
"CR041-045","1","EMBER","3","6","7","9.36","0"
"CR041-045","1","EMBER","3","7","8","8","0"
"CR041-045","1","EMBER","3","8","9","7.72","0"
"CR041-045","1","EMBER","3","9","10","6.92","0"
"CR041-045","1","EMBER","3","10","11","6.4","0"
"CR041-045","1","EMBER","3","11","12","5.86","0"
"CR041-045","1","EMBER","3","12","13","8.54","0"
"CR041-045","1","EMBER","3","13","14","5.32","0"
"CR041-045","1","EMBER","3","14","15","5.08","0"
"CR041-045","1","EMBER","3","15","16","5.06","0"
"CR041-045","1","EMBER","3","16","17","5.6","0"
"CR041-045","1","EMBER","3","17","18","7.2","0"
"CR041-045","1","EMBER","3","18","19","5.06","0"
"CR041-045","1","EMBER","3","19","0","5.08","0"
"CR041-045","1","EMBER","3","0","0","11.22","0"
"CR041-045","1","GOLD","1","0","1","1.593","0"
"CR041-045","1","GOLD","1","1","2","7.74","0"
"CR041-045","1","GOLD","1","2","3","6.94","0"
"CR041-045","1","GOLD","1","3","4","6.92","0"
"CR041-045","1","GOLD","1","4","5","6.68","0"
"CR041-045","1","GOLD","1","5","6","6.66","0"
"CR041-045","1","GOLD","1","6","7","8.26","0"
"CR041-045","1","GOLD","1","7","8","8","0"
"CR041-045","1","GOLD","1","8","9","7.48","0"
"CR041-045","1","GOLD","1","9","10","6.4","0"
"CR041-045","1","GOLD","1","10","11","6.12","0"
"CR041-045","1","GOLD","1","11","12","5.34","0"
"CR041-045","1","GOLD","1","12","13","7.54","0"
"CR041-045","1","GOLD","1","13","14","4.52","0"
"CR041-045","1","GOLD","1","14","15","4","0"
"CR041-045","1","GOLD","1","15","16","4.14","0"
"CR041-045","1","GOLD","1","16","17","5.06","0"
"CR041-045","1","GOLD","1","17","18","11.48","0"
"CR041-045","1","GOLD","1","18","19","4.28","0"
"CR041-045","1","GOLD","1","19","0","7.48","0"
"CR041-045","1","GOLD","1","0","1","10.94","0"
"CR041-045","1","GOLD","2","1","2","7.46","0"
"CR041-045","1","GOLD","2","2","3","6.94","0"
"CR041-045","1","GOLD","2","3","4","7","0"
"CR041-045","1","GOLD","2","4","5","6.66","0"
"CR041-045","1","GOLD","2","5","6","6.66","0"
"CR041-045","1","GOLD","2","6","7","8.28","0"
"CR041-045","1","GOLD","2","7","8","7.98","0"
"CR041-045","1","GOLD","2","8","9","7.48","0"
"CR041-045","1","GOLD","2","9","10","6.4","0"
"CR041-045","1","GOLD","2","10","11","6.14","0"
"CR041-045","1","GOLD","2","11","12","5.32","0"
"CR041-045","1","GOLD","2","12","13","7.48","0"
"CR041-045","1","GOLD","2","13","14","4.52","0"
"CR041-045","1","GOLD","2","14","15","4.26","0"
"CR041-045","1","GOLD","2","15","16","4","0"
"CR041-045","1","GOLD","2","16","17","5.34","0"
"CR041-045","1","GOLD","2","17","18","6.4","0"
"CR041-045","1","GOLD","2","18","19","4.28","0"
"CR041-045","1","GOLD","2","19","0","4.52","0"
"CR041-045","1","GOLD","2","0","1","7.74","0"
"CR041-045","1","GOLD","3","1","2","7.46","0"
"CR041-045","1","GOLD","3","2","3","7.2","0"
"CR041-045","1","GOLD","3","3","4","6.94","0"
"CR041-045","1","GOLD","3","4","5","6.66","0"
"CR041-045","1","GOLD","3","5","6","6.66","0"
"CR041-045","1","GOLD","3","6","7","8.28","0"
"CR041-045","1","GOLD","3","7","8","7.98","0"
"CR041-045","1","GOLD","3","8","9","7.58","0"
"CR041-045","1","GOLD","3","9","10","6.46","0"
"CR041-045","1","GOLD","3","10","11","5.9","0"
"CR041-045","1","GOLD","3","11","12","5.6","0"
"CR041-045","1","GOLD","3","12","13","7.46","0"
"CR041-045","1","GOLD","3","13","14","4.54","0"
"CR041-045","1","GOLD","3","14","15","4","0"
"CR041-045","1","GOLD","3","15","16","4.26","0"
"CR041-045","1","GOLD","3","16","17","4.78","0"
"CR041-045","1","GOLD","3","17","18","6.14","0"
"CR041-045","1","GOLD","3","18","19","4.26","0"
"CR041-045","1","GOLD","3","19","0","4.54","0"
"CR041-045","1","GOLD","3","0","0","10.12","0"
"CR041-045","1","YOU reference pilot","1","0","1","2.653","0"
"CR041-045","1","YOU reference pilot","1","1","2","7.74","0"
"CR041-045","1","YOU reference pilot","1","2","3","9.6","0"
"CR041-045","1","YOU reference pilot","1","3","4","7.48","0"
"CR041-045","1","YOU reference pilot","1","4","5","7.72","0"
"CR041-045","1","YOU reference pilot","1","5","6","7.74","0"
"CR041-045","1","YOU reference pilot","1","6","7","9.34","0"
"CR041-045","1","YOU reference pilot","1","7","8","8.26","0"
"CR041-045","1","YOU reference pilot","1","8","9","8","0"
"CR041-045","1","YOU reference pilot","1","9","10","7.2","0"
"CR041-045","1","YOU reference pilot","1","10","11","6.2","0"
"CR041-045","1","YOU reference pilot","1","11","12","8.54","0"
"CR041-045","1","YOU reference pilot","1","12","13","8.92","0"
"CR041-045","1","YOU reference pilot","1","13","14","5.34","0"
"CR041-045","1","YOU reference pilot","1","14","15","5.06","0"
"CR041-045","1","YOU reference pilot","1","15","16","5.08","0"
"CR041-045","1","YOU reference pilot","1","16","17","6.16","0"
"CR041-045","1","YOU reference pilot","1","17","18","6.92","0"
"CR041-045","1","YOU reference pilot","1","18","19","5.34","0"
"CR041-045","1","YOU reference pilot","1","19","0","5.08","0"
"CR041-045","1","YOU reference pilot","1","0","1","9.6","0"
"CR041-045","1","YOU reference pilot","2","1","2","11.26","0"
"CR041-045","1","YOU reference pilot","2","2","3","9.06","0"
"CR041-045","1","YOU reference pilot","2","3","4","7.2","0"
"CR041-045","1","YOU reference pilot","2","4","5","6.94","0"
"CR041-045","1","YOU reference pilot","2","5","6","7.2","0"
"CR041-045","1","YOU reference pilot","2","6","7","9.34","0"
"CR041-045","1","YOU reference pilot","2","7","8","8","0"
"CR041-045","1","YOU reference pilot","2","8","9","8","0"
"CR041-045","1","YOU reference pilot","2","9","10","6.92","0"
"CR041-045","1","YOU reference pilot","2","10","11","6.4","0"
"CR041-045","1","YOU reference pilot","2","11","12","6.14","0"
"CR041-045","1","YOU reference pilot","2","12","13","8.54","0"
"CR041-045","1","YOU reference pilot","2","13","14","5.32","0"
"CR041-045","1","YOU reference pilot","2","14","15","5.06","0"
"CR041-045","1","YOU reference pilot","2","15","16","5.08","0"
"CR041-045","1","YOU reference pilot","2","16","17","5.86","0"
"CR041-045","1","YOU reference pilot","2","17","18","7.2","0"
"CR041-045","1","YOU reference pilot","2","18","19","5.34","0"
"CR041-045","1","YOU reference pilot","2","19","0","5.32","0"
"CR041-045","1","YOU reference pilot","2","0","1","9.34","0"
"CR041-045","1","YOU reference pilot","3","1","2","7.46","0"
"CR041-045","1","YOU reference pilot","3","2","3","7.48","0"
"CR041-045","1","YOU reference pilot","3","3","4","7.18","0"
"CR041-045","1","YOU reference pilot","3","4","5","6.92","0"
"CR041-045","1","YOU reference pilot","3","5","6","6.86","0"
"CR041-045","1","YOU reference pilot","3","6","7","9.36","0"
"CR041-045","1","YOU reference pilot","3","7","8","8","0"
"CR041-045","1","YOU reference pilot","3","8","9","8","0"
"CR041-045","1","YOU reference pilot","3","9","10","7.18","0"
"CR041-045","1","YOU reference pilot","3","10","11","6.14","0"
"CR041-045","1","YOU reference pilot","3","11","12","6.12","0"
"CR041-045","1","YOU reference pilot","3","12","13","8.54","0"
"CR041-045","1","YOU reference pilot","3","13","14","5.32","0"
"CR041-045","1","YOU reference pilot","3","14","15","11.2","0"
"CR041-045","1","YOU reference pilot","3","15","16","7.74","0"
"CR041-045","1","YOU reference pilot","3","16","17","5.86","0"
"CR041-045","1","YOU reference pilot","3","17","18","7.74","0"
"CR041-045","1","YOU reference pilot","3","18","19","5.06","0"
"CR041-045","1","YOU reference pilot","3","19","0","5.38","0"
"CR041-045","1","YOU reference pilot","3","0","0","9.32","0"
